name,date,type,comment,potentials
2009-08-12 New posting for C-H-O,2009-08-12,new posting,New posting for C-H-O,"[{'id': '2008--Chenoweth-K-van-Duin-A-C-T-Goddard-W-A--C-H-O', 'key': '78d3b4a7-7778-4b5c-8fd7-eb164a7a82b5', 'dois': ['10.1021/jp709896w'], 'elements': ['C', 'H', 'O'], 'othername': None, 'fictional': False}]"
2009-08-12-New-posting-for-C-H-O,2009-08-12,new posting,New posting for C-H-O,"[{'id': '2008--Chenoweth-K-van-Duin-A-C-T-Goddard-W-A--C-H-O', 'key': '78d3b4a7-7778-4b5c-8fd7-eb164a7a82b5', 'dois': ['10.1021/jp709896w'], 'elements': ['C', 'H', 'O'], 'othername': None, 'fictional': False}]"
2009-08-18 New posting for Cu-Ag,2009-08-18,new posting,New posting for Cu-Ag,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2009-08-18-New-posting-for-Cu-Ag,2009-08-18,new posting,New posting for Cu-Ag,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2009-09-30 New posting for Ni-Al,2009-09-30,new posting,New posting for Ni-Al,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-09-30-New-posting-for-Ni-Al,2009-09-30,new posting,New posting for Ni-Al,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-01 New posting for Ti,2009-12-01,new posting,New posting for Ti,"[{'id': '1992--Ackland-G-J--Ti', 'key': '8a634ace-23df-4e28-8041-007bd0e11cfb', 'dois': ['10.1080/01418619208247999'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2009-12-01 New posting for Ti-Al,2009-12-01,new posting,New posting for Ti-Al,"[{'id': '2003--Zope-R-R-Mishin-Y--Ti-Al', 'key': '274cbc15-b7c1-4701-a3e8-07b0b046ad7b', 'dois': ['10.1103/physrevb.68.024102'], 'elements': ['Ti', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-01-New-posting-for-Ti,2009-12-01,new posting,New posting for Ti,"[{'id': '1992--Ackland-G-J--Ti', 'key': '8a634ace-23df-4e28-8041-007bd0e11cfb', 'dois': ['10.1080/01418619208247999'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2009-12-01-New-posting-for-Ti-Al,2009-12-01,new posting,New posting for Ti-Al,"[{'id': '2003--Zope-R-R-Mishin-Y--Ti-Al', 'key': '274cbc15-b7c1-4701-a3e8-07b0b046ad7b', 'dois': ['10.1103/physrevb.68.024102'], 'elements': ['Ti', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-10 New postings for Fe and Cu,2009-12-10,new posting,New postings for Fe and Cu,"[{'id': '2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe', 'key': '3837b6da-05c4-4148-97cd-90b26a2092df', 'dois': ['10.1016/j.susc.2006.02.010'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2001--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A-et-al--Cu-2', 'key': '5a94a06a-22c7-41e0-8593-ee42d4728018', 'dois': ['10.1103/physrevb.63.224106'], 'elements': ['Cu'], 'othername': None, 'fictional': False}]"
