name,year_authors,year,volume,url,title,publisher,pages,number,month,journal,doi,author,abstract,ENTRYTYPE,ID,issue,numpages,note,day,booktitle,address
10.1002_adem.200700047,2007--Paduraru-A-Kenoufi-A-Bailey-N-P-Schiotz-J,2007,9,https://doi.org/10.1002%2Fadem.200700047,An Interatomic Potential for Studying CuZr Bulk Metallic Glasses,Wiley,505--508,6,jun,Advanced Engineering Materials,10.1002/adem.200700047,Anca Pǎduraru and Abder Kenoufi and Nicholas P. Bailey and Jacob Schiøtz,"Glass forming ability has been found in only a small number of binary alloys, one being CuZr. In order to simulate this glass, we fitted an interatomic potential within Effective Medium Theory (EMT). For this purpose we use basic properties of the B2 crystal structure as calculated from Density Functional Theory (DFT) or obtained from experiments. We then performed Molecular Dynamics (MD) simulations of the cooling process and studied the thermodynamics and structure of CuZr glass. We find that the potential gives a good description of the CuZr glass, with a glass transition temperature and elastic constants close to the experimental values. The local atomic order, as witnessed by the radial distribution function, is also consistent with similar experimental data.",article,P_duraru_2007,,,,,,
10.1002_jcc.23949,2015--Zhou-X-W-Ward-D-K-Foster-M-E,2015,36,https://doi.org/10.1002%2Fjcc.23949,An analytical bond-order potential for carbon,Wiley,1719--1735,23,may,Journal of Computational Chemistry,10.1002/jcc.23949,X. W. Zhou and D. K. Ward and M. E. Foster,"Carbon is the most widely studied material today because it exhibits special properties not seen in any other materials when in nano dimensions such as nanotube and graphene. Reduction of material defects created during synthesis has become critical to realize the full potential of carbon structures. Molecular dynamics (MD) simulations, in principle, allow defect formation mechanisms to be studied with high fidelity, and can, therefore, help guide experiments for defect reduction. Such MD simulations must satisfy a set of stringent requirements. First, they must employ an interatomic potential formalism that is transferable to a variety of carbon structures. Second, the potential needs to be appropriately parameterized to capture the property trends of important carbon structures, in particular, diamond, graphite, graphene, and nanotubes. Most importantly, the potential must predict the crystalline growth of the correct phases during direct MD simulations of synthesis to achieve a predictive simulation of defect formation. Because an unlimited number of structures not included in the potential parameterization are encountered, the literature carbon potentials are often not sufficient for growth simulations. We have developed an analytical bond order potential for carbon, and have made it available through the public MD simulation package LAMMPS. We demonstrate that our potential reasonably captures the property trends of important carbon phases. Stringent MD simulations convincingly show that our potential accounts not only for the crystalline growth of graphene, graphite, and carbon nanotubes but also for the transformation of graphite to diamond at high pressure.",article,Zhou_2015,,,,,,
10.1002_jcc.25573,2018--Zhou-X-W-Foster-M-E-Sills-R-B,2018,39,https://doi.org/10.1002%2Fjcc.25573,An Fe-Ni-Cr embedded atom method potential for austenitic and ferritic systems,Wiley,2420--2431,29,oct,Journal of Computational Chemistry,10.1002/jcc.25573,Xiaowang W. Zhou and Michael E. Foster and Ryan B. Sills,"Fe‐Ni‐Cr stainless‐steels are important structural materials because of their superior strength and corrosion resistance. Atomistic studies of mechanical properties of stainless‐steels, however, have been limited by the lack of high‐fidelity interatomic potentials. Here using density functional theory as a guide, we have developed a new Fe‐Ni‐Cr embedded atom method potential. We demonstrate that our potential enables stable molecular dynamics simulations of stainless‐steel alloys at high temperatures, accurately reproduces the stacking fault energy-known to strongly influence the mode of plastic deformation (e.g., twinning vs. dislocation glide vs. cross‐slip)-of these alloys over a range of compositions, and gives reasonable elastic constants, energies, and volumes for various compositions. The latter are pertinent for determining short‐range order and solute strengthening effects. Our results suggest that our potential is suitable for studying mechanical properties of austenitic and ferritic stainless‐steels which have vast implementation in the scientific and industrial communities. Published 2018. This article is a U.S. Government work and is in the public domain in the USA.",article,Zhou_2018,,,,,,
10.1002_pssb.201147137,2011--Du-Y-A-Lenosky-T-J-Hennig-R-G-et-al,2011,248,https://doi.org/10.1002%2Fpssb.201147137,Energy landscape of silicon tetra-interstitials using an optimized classical potential,Wiley,2050-2055,9,jun,physica status solidi (b),10.1002/pssb.201147137,Yaojun A. Du and Thomas J. Lenosky and Richard G. Hennig and Stefan Goedecker and John W. Wilkins,"Mobile single interstitials can grow into extended interstitial defect structures during thermal anneals following ion implantation. The silicon tetra‐interstitials present an important intermediate structure that can either provide a chain‐like nucleation site for extended structures or form a highly stable compact interstitial cluster preventing further growth. In this paper, dimer searches using the tight‐binding (TB) model by Lenosky et al. and density functional calculations show that the compact  ground‐state I<sup>a</sup><sub>4</sub> and the I<sub>4</sub>‐chain are surrounded by high‐lying neighboring local minima.
To furthermore explore the phase space of tetra‐interstitial structures an empirical potential is optimized to a database of silicon defect structures. The minima hopping method combined with this potential extensively searches the energy landscape of tetra‐interstitials and discovers several new low‐energy I<sub>4</sub> structures. The second lowest‐energy I<sub>4</sub> structure turns out to be a distorted ground‐state tri‐interstitial bound with a single interstitial, which confirms that the ground‐state tri‐interstitial may serve as a nucleation center for the extended defects in silicon.",article,Du_2011,,,,,,
10.1007_s00161-009-0109-1,2009--Guthikonda-V-S-Elliott-R-S,2009,21,https://doi.org/10.1007%2Fs00161-009-0109-1,An effective interaction potential model for the shape memory alloy AuCd,Springer Science and Business Media LLC,269--295,4,jul,Continuum Mechanics and Thermodynamics,10.1007/s00161-009-0109-1,Venkata Suresh Guthikonda and Ryan S. Elliott,"The unusual properties of shape memory alloys (SMAs) result from a lattice level martensitic transformation (MT) corresponding to an instability of the SMAs crystal structure. Currently, there exists a shortage of material models that can capture the details of lattice level MTs occurring in SMAs and that can be used for efficient computational investigations of the interaction between MTs and larger-scale features found in typical materials. These larger-scale features could include precipitates, dislocation networks, voids, and even cracks. In this article, one such model is developed for the SMA AuCd. The model is based on effective interaction potentials (EIPs). These are atomic interaction potentials that are explicit functions of temperature. In particular, the Morse pair potential is used and its adjustable coefficients are taken to be temperature dependent. An extensive exploration of the Morse pair potential is performed to identify an appropriate functional form for the temperature dependence of the potential parameters. A fitting procedure is developed for the EIPs that matches, at suitable temperatures, the stress-free equilibrium lattice parameters, instantaneous bulk moduli, cohesive energies, thermal expansion coefficients, and heat capacities of FCC Au, HCP Cd, and the B2 cubic austenite phase of the Au-47.5at%Cd alloy. The resulting model is explored using branch-following and bifurcation techniques. A hysteretic temperature-induced MT between the B2 cubic and B19 orthorhombic crystal structures is predicted. This is the behavior that is observed in the real material. In addition to reproducing the important properties mentioned above, the model predicts, to reasonable accuracy, the transformation strain tensor and captures the latent heat and thermal hysteresis to within an order of magnitude.",article,Guthikonda_2009,,,,,,
10.1007_s00161-010-0169-2,2010--Guthikonda-V-S-Elliott-R-S,2010,23,https://doi.org/10.1007%2Fs00161-010-0169-2,Erratum to: An effective interaction potential model for the shape memory alloy AuCd,Springer Science and Business Media LLC,177--183,2,nov,Continuum Mechanics and Thermodynamics,10.1007/s00161-010-0169-2,Venkata Suresh Guthikonda and Ryan S. Elliott,,article,Guthikonda_2010,,,,,,
10.1007_s00340-014-5789-y,2014--Starikov-S-V-Faenov-A-Y-Pikuz-T-A-et-al,2014,116,https://doi.org/10.1007%2Fs00340-014-5789-y,Soft picosecond X-ray laser nanomodification of gold and aluminum surfaces,Springer Nature,1005--1016,4,feb,Applied Physics B,10.1007/s00340-014-5789-y,S. V. Starikov and A. Ya. Faenov and T. A. Pikuz and I. Yu. Skobelev and V. E. Fortov and S. Tamotsu and M. Ishino and M. Tanaka and N. Hasegawa and M. Nishikino and T. Kaihori and T. Imazono and M. Kando and T. Kawachi,"Experimental and theoretical investigations of aluminum (Al) and gold (Au) surface modification by soft X-ray laser pulse are presented. Well-polished samples of Al and Au are irradiated by ps-duration pulse with wavelength of 13.9 nm at the energy range of 24-72 nJ. Differences in the melting and the ablation processes for those materials are observed. It is shown that at low laser pulse energy, the nanoscale ripples on the surface may be induced by melting without following ablation. In that case, the nanoscale changes in the surface are caused by splash of molten metal under gradient of fluence. At higher laser pulse energy, the ablation process occurs and craters are formed on the surface. However, the melting determines the size of the modified surface at all ranges of the laser energies. For interpretation of experimental results, the atomistic simulations of melting and ablation processes in Al and Au are provided. The calculated threshold fluencies for melting and ablation are well consistent with measured ones.",article,Starikov_2014,,,,,,
10.1007_s00894-013-2004-8,2013--Ward-D-K-Zhou-X-Wong-B-M-Doty-F-P,2013,19,https://doi.org/10.1007%2Fs00894-013-2004-8,A refined parameterization of the analytical Cd-Zn-Te bond-order potential,Springer Nature,5469--5477,12,nov,Journal of Molecular Modeling,10.1007/s00894-013-2004-8,Donald K. Ward and Xiaowang Zhou and Bryan M. Wong and F. P. Doty,"This paper reports an updated parameterization for a CdTe bond order potential. The original potential is a rigorously parameterized analytical bond order potential for ternary the Cd–Zn–Te systems. This potential effectively captures property trends of multiple Cd, Zn, Te, CdZn, CdTe, ZnTe, and Cd<sub>1-x</sub>Zn<sub>x</sub>Te phases including clusters, lattices, defects, and surfaces. It also enables crystalline growth simulations of stoichiometric compounds/alloys from non-stoichiometric vapors. However, the potential over predicts the zinc-blende CdTe lattice constant compared to experimental data. Here, we report a refined analytical Cd–Zn–Te bond order potential parameterization that predicts a better CdTe lattice constant. Characteristics of the second potential are given based on comparisons with both literature potentials and the quantum mechanical calculations.",article,Ward_2013,,,,,,
10.1007_s10853-015-8848-9,2015--Zhou-X-W-Ward-D-K-Foster-M-Zimmerman-J-A,2015,50,https://doi.org/10.1007%2Fs10853-015-8848-9,An analytical bond-order potential for the copper-hydrogen binary system,Springer Nature,2859--2875,7,jan,Journal of Materials Science,10.1007/s10853-015-8848-9,X. W. Zhou and D. K. Ward and M. Foster and J. A. Zimmerman,"Despite extensive studies in the past, deterioration of mechanical properties due to hydrogen environment exposure remains a serious problem for structural materials. More effective improvement of a material’s resilience requires advanced computational methods to elucidate the fundamental mechanisms of the hydrogen effects. To enable accurate molecular dynamics (MD) studies of the hydrogen effects on metals, we have developed a high-fidelity analytical bond-order potential (BOP) for the copper–hydrogen binary system as a representative case. This potential is available through the publically available MD code LAMMPS. The potential parameters are optimized using an iterative process. First, the potential is fitted to static and reactive properties of a variety of elemental and binary configurations including small clusters and bulk lattices (with coordination varying from 1 to 12). Then the potential is put through a series of rigorous MD simulation tests (e.g., vapor deposition and solidification) that involve chaotic initial configurations. It is demonstrated that this Cu–H BOP not only gives structural and property trends close to those seen in experiments and quantum mechanical calculations, but also predicts the correct phase transformations and chemical reactions in direct MD simulations. The correct structural evolution from chaotic initial states strongly verifies the transferability of the potential. A highly transferable potential is the reason that a well-parameterized analytical BOP can enable MD simulations of metal-hydrogen interactions to reach a fidelity level not achieved in the past.",article,Zhou_2015,,,,,,
10.1007_s10853-017-1706-1,2017--OBrien-C-J-Barr-C-M-Price-P-M-et-al,2017,53,https://doi.org/10.1007%2Fs10853-017-1706-1,Grain boundary phase transformations in PtAu and relevance to thermal stabilization of bulk nanocrystalline metals,Springer Nature,2911--2927,4,oct,Journal of Materials Science,10.1007/s10853-017-1706-1,C. J. O'Brien and C. M. Barr and P. M. Price and K. Hattar and S. M. Foiles,"There has recently been a great deal of interest in employing immiscible solutes to stabilize nanocrystalline microstructures. Existing modeling efforts largely rely on mesoscale Monte Carlo approaches that employ a simplified model of the microstructure and result in highly homogeneous segregation to grain boundaries. However, there is ample evidence from experimental and modeling studies that demonstrates segregation to grain boundaries is highly non-uniform and sensitive to boundary character. This work employs a realistic nanocrystalline microstructure with experimentally relevant global solute concentrations to illustrate inhomogeneous boundary segregation. Experiments quantifying segregation in thin films are reported that corroborate the prediction that grain boundary segregation is highly inhomogeneous. In addition to grain boundary structure modifying the degree of segregation, the existence of a phase transformation between low and high solute content grain boundaries is predicted. In order to conduct this study, new embedded atom method interatomic potentials are developed for Pt, Au, and the PtAu binary alloy.",article,O_Brien_2017,,,,,,
