name,date,comment,systems
2010-01-01-Co-Ni,2010-01-01,alloys for structural applications,"[{'formula': None, 'elements': ['Co', 'Ni']}]"
2010-02-01-Mn-Si,2010-02-01,alloys for structural and transportation applications,"[{'formula': None, 'elements': ['Mn', 'Si']}]"
2010-03-01-Zn-O,2010-03-01,,"[{'formula': 'ZnO', 'elements': ['Zn', 'O']}]"
2010-04-01-Hg,2010-04-01,liquid,"[{'formula': None, 'elements': ['Hg']}]"
2010-05-01-Mo-S,2010-05-01,,"[{'formula': 'MoS<sub>2</sub>', 'elements': ['Mo', 'S']}]"
2010-06-01-,2010-06-01,Metal-water (liquid and ice),[]
2010-07-01-,2010-07-01,Models appropriate for multiple material types (e.g. metal-ceramic or metal-polymer),[]
2010-08-01-,2010-08-01,Metal-polymer for interfaces between coatings and substrates,[]
2010-09-01-,2010-09-01,Metals and oxides (e.g. for surfaces),[]
2013-11-23-Al-Cu-Mg,2013-11-23,,"[{'formula': None, 'elements': ['Al', 'Cu', 'Mg']}]"
2013-11-26-Al-O,2013-11-26,for bulk and nanowire thermal and mechanical properties,"[{'formula': 'Al<sub>2</sub>O<sub>3</sub>', 'elements': ['Al', 'O']}]"
2014-01-14-Fe-La-Fe-Ce,2014-01-14,and other rare earth alloys,"[{'formula': None, 'elements': ['Fe', 'La']}, {'formula': None, 'elements': ['Fe', 'Ce']}]"
2014-02-01-Ti-H-Mg-H,2014-02-01,especially reactive potentials,"[{'formula': 'TiH<sub>2</sub>', 'elements': ['Ti', 'H']}, {'formula': 'MgH<sub>2</sub>', 'elements': ['Mg', 'H']}]"
2014-02-03-Ce-O,2014-02-03,to study structure,"[{'formula': 'CeO<sub>2</sub>', 'elements': ['Ce', 'O']}]"
2014-02-04-Mg-O-Ti-N,2014-02-04,interfaces to study thermal properties,"[{'formula': None, 'elements': ['Mg', 'O']}, {'formula': None, 'elements': ['Ti', 'N']}]"
2014-03-05-Ag-Cu-Sn,2014-03-05,for thermal properties and melting,"[{'formula': None, 'elements': ['Ag', 'Cu', 'Sn']}]"
2014-03-05-Ni-P-Cu,2014-03-05,amorphous Ni-P on crystalline Cu,"[{'formula': None, 'elements': ['Ni', 'P', 'Cu']}]"
2014-03-31-Gd-Fe,2014-03-31,amorphous alloys,"[{'formula': None, 'elements': ['Gd', 'Fe']}]"
2014-04-09-Fe-Ni-Cr,2014-04-09,,"[{'formula': None, 'elements': ['Fe', 'Ni', 'Cr']}]"
2014-04-09-Li-Si-Li-Sn-Na-Sn-Li-C,2014-04-09,,"[{'formula': None, 'elements': ['Li', 'Si']}, {'formula': None, 'elements': ['Li', 'Sn']}, {'formula': None, 'elements': ['Na', 'Sn']}, {'formula': None, 'elements': ['Li', 'C']}]"
2014-04-09-Nb-Ti-Al,2014-04-09,,"[{'formula': None, 'elements': ['Nb', 'Ti', 'Al']}]"
2014-05-09-C,2014-05-09,graphene,"[{'formula': None, 'elements': ['C']}]"
2014-06-30-Zn-O-Zn-S,2014-06-30,,"[{'formula': 'ZnO', 'elements': ['Zn', 'O']}, {'formula': 'ZnS', 'elements': ['Zn', 'S']}]"
2014-07-14-Fe-B-Fe-Zr-B,2014-07-14,for metallic glass simulations,"[{'formula': None, 'elements': ['Fe', 'B']}, {'formula': None, 'elements': ['Fe', 'Zr', 'B']}]"
2014-11-12-Ge-Sb-Te,2014-11-12,for phase transition studies,"[{'formula': 'Ge<sub>2</sub>Sb<sub>2</sub>Te<sub>5</sub>', 'elements': ['Ge', 'Sb', 'Te']}]"
2014-12-30-Al-Cu,2014-12-30,ADP format,"[{'formula': None, 'elements': ['Al', 'Cu']}]"
2014-12-30-Ni-Ti,2014-12-30,and Ni-Ti-M for structural applications,"[{'formula': None, 'elements': ['Ni', 'Ti']}]"
2014-12-31-Al-C-Mg,2014-12-31,,"[{'formula': 'Al<sub>4</sub>C<sub>3</sub> / Mg', 'elements': ['Al', 'C', 'Mg']}]"
2014-12-31-Fe-C,2014-12-31,,"[{'formula': '304L stainless steel', 'elements': ['Fe', 'C']}]"
2014-12-31-Ir,2014-12-31,,"[{'formula': None, 'elements': ['Ir']}]"
2014-12-31-Si-C,2014-12-31,,"[{'formula': 'SiC', 'elements': ['Si', 'C']}]"
2015-03-24-Al-Si-Al-N-Si-N,2015-03-24,compatible with LAMMPS,"[{'formula': None, 'elements': ['Al', 'Si']}, {'formula': None, 'elements': ['Al', 'N']}, {'formula': None, 'elements': ['Si', 'N']}]"
2015-09-03-Pd-Ni,2015-09-03,amorphous,"[{'formula': None, 'elements': ['Pd', 'Ni']}]"
2015-09-26-Ca-C-O,2015-09-26,Arganite,"[{'formula': 'CaCO<sub>3</sub>', 'elements': ['Ca', 'C', 'O']}]"
2015-10-25-Fe-Si-B,2015-10-25,system,"[{'formula': 'FeSiB', 'elements': ['Fe', 'Si', 'B']}]"
2015-12-25-Sn,2015-12-25,&beta;-Sn,"[{'formula': None, 'elements': ['Sn']}]"
2016-01-31-Ag-I-K-I-N-H-I,2016-01-31,,"[{'formula': 'AgI', 'elements': ['Ag', 'I']}, {'formula': 'KI', 'elements': ['K', 'I']}, {'formula': 'NH<sub>4</sub>I', 'elements': ['N', 'H', 'I']}]"
2016-04-04-Fe,2016-04-04,analytic bond order potential format,"[{'formula': None, 'elements': ['Fe']}]"
2016-04-09-Al-O-Si-O,2016-04-09,,"[{'formula': 'Al<sub>2</sub>O<sub>3</sub>', 'elements': ['Al', 'O']}, {'formula': 'SiO<sub>2</sub>', 'elements': ['Si', 'O']}]"
2016-04-12-S,2016-04-12,compatible with LAMMPS,"[{'formula': None, 'elements': ['S']}]"
2016-05-10-In,2016-05-10,compatible with LAMMPS,"[{'formula': None, 'elements': ['In']}]"
2016-05-11-Cu-Nb,2016-05-11,compatible with LAMMPS,"[{'formula': None, 'elements': ['Cu', 'Nb']}]"
2016-07-18-Pt-Pd,2016-07-18,,"[{'formula': None, 'elements': ['Pt', 'Pd']}]"
2016-08-04-Co-O-Fe-O,2016-08-04,,"[{'formula': None, 'elements': ['Co', 'O']}, {'formula': None, 'elements': ['Fe', 'O']}]"
2016-08-08-Ni-Cr-Ag-Ge-Ag-Si,2016-08-08,,"[{'formula': None, 'elements': ['Ni', 'Cr']}, {'formula': None, 'elements': ['Ag', 'Ge']}, {'formula': None, 'elements': ['Ag', 'Si']}]"
2016-08-15-C-N,2016-08-15,,"[{'formula': 'CaF<sub>2</sub>', 'elements': ['C', 'N']}]"
2016-08-23-Cr-O,2016-08-23,,"[{'formula': None, 'elements': ['Cr', 'O']}]"
2016-08-30-Al-B-C,2016-08-30,metal/ceramic system in LAMMPS,"[{'formula': 'Al-B<sub>4</sub>C', 'elements': ['Al', 'B', 'C']}]"
2016-08-30-Fe-Pt-Co-Pt,2016-08-30,,"[{'formula': None, 'elements': ['Fe', 'Pt']}, {'formula': None, 'elements': ['Co', 'Pt']}]"
2016-09-26-Ga-Si-Ga-N-Si-N,2016-09-26,,"[{'formula': None, 'elements': ['Ga', 'Si']}, {'formula': None, 'elements': ['Ga', 'N']}, {'formula': None, 'elements': ['Si', 'N']}]"
2016-10-19-Fe-Mo-B,2016-10-19,,"[{'formula': 'FeMo<sub>2</sub>B<sub>2</sub>', 'elements': ['Fe', 'Mo', 'B']}]"
2016-10-31-Cu-S,2016-10-31,for sulfur segrigation at ambient and intermediate temperatures,"[{'formula': None, 'elements': ['Cu', 'S']}]"
2016-11-02-W-C,2016-11-02,for mechanical sliding on graphite,"[{'formula': None, 'elements': ['W', 'C']}]"
2016-11-09-Cu-W,2016-11-09,,"[{'formula': None, 'elements': ['Cu', 'W']}]"
2016-11-15-Mo-Ag,2016-11-15,,"[{'formula': None, 'elements': ['Mo', 'Ag']}]"
2016-11-27-Fe-V-C-N,2016-11-27,2NN-MEAM-fs format,"[{'formula': None, 'elements': ['Fe', 'V', 'C', 'N']}]"
2016-11-28-Fe-Cr-C,2016-11-28,,"[{'formula': None, 'elements': ['Fe', 'Cr', 'C']}]"
2016-12-12-Cu-Cr,2016-12-12,,"[{'formula': None, 'elements': ['Cu', 'Cr']}]"
