name,id,family,hkl,shiftindex,cutboxvector
A1--Cu--fcc--100,A1--Cu--fcc--100,A1--Cu--fcc,1 0 0,0.0,c
A1--Cu--fcc--110,A1--Cu--fcc--110,A1--Cu--fcc,1 1 0,0.0,c
A1--Cu--fcc--111,A1--Cu--fcc--111,A1--Cu--fcc,1 1 1,0.0,c
A1--Cu--fcc--210,A1--Cu--fcc--210,A1--Cu--fcc,2 1 0,0.0,c
A1--Cu--fcc--211,A1--Cu--fcc--211,A1--Cu--fcc,2 1 1,0.0,c
A1--Cu--fcc--221,A1--Cu--fcc--221,A1--Cu--fcc,2 2 1,0.0,c
A1--Cu--fcc--310,A1--Cu--fcc--310,A1--Cu--fcc,3 1 0,0.0,c
A1--Cu--fcc--311,A1--Cu--fcc--311,A1--Cu--fcc,3 1 1,0.0,c
A1--Cu--fcc--320,A1--Cu--fcc--320,A1--Cu--fcc,3 2 0,0.0,c
A1--Cu--fcc--321,A1--Cu--fcc--321,A1--Cu--fcc,3 2 1,0.0,c
A1--Cu--fcc--322,A1--Cu--fcc--322,A1--Cu--fcc,3 2 2,0.0,c
A1--Cu--fcc--331,A1--Cu--fcc--331,A1--Cu--fcc,3 3 1,0.0,c
A1--Cu--fcc--332,A1--Cu--fcc--332,A1--Cu--fcc,3 3 2,0.0,c
A15--beta-W--100,A15--beta-W--100,A15--beta-W,1 0 0,0.0,c
A15--beta-W--110,A15--beta-W--110,A15--beta-W,1 1 0,0.0,c
A15--beta-W--111,A15--beta-W--111,A15--beta-W,1 1 1,0.0,c
A15--beta-W--210,A15--beta-W--210,A15--beta-W,2 1 0,0.0,c
A15--beta-W--211-1,A15--beta-W--211-1,A15--beta-W,2 1 1,0.0,c
A15--beta-W--211-2,A15--beta-W--211-2,A15--beta-W,2 1 1,1.0,c
A15--beta-W--221,A15--beta-W--221,A15--beta-W,2 2 1,0.0,c
A15--beta-W--310,A15--beta-W--310,A15--beta-W,3 1 0,0.0,c
A15--beta-W--311,A15--beta-W--311,A15--beta-W,3 1 1,0.0,c
A15--beta-W--320,A15--beta-W--320,A15--beta-W,3 2 0,0.0,c
A15--beta-W--321-1,A15--beta-W--321-1,A15--beta-W,3 2 1,0.0,c
A15--beta-W--321-2,A15--beta-W--321-2,A15--beta-W,3 2 1,1.0,c
A15--beta-W--322,A15--beta-W--322,A15--beta-W,3 2 2,0.0,c
A15--beta-W--331,A15--beta-W--331,A15--beta-W,3 3 1,0.0,c
A15--beta-W--332-1,A15--beta-W--332-1,A15--beta-W,3 3 2,0.0,c
A15--beta-W--332-2,A15--beta-W--332-2,A15--beta-W,3 3 2,1.0,c
A2--W--bcc--100,A2--W--bcc--100,A2--W--bcc,1 0 0,0.0,c
A2--W--bcc--110,A2--W--bcc--110,A2--W--bcc,1 1 0,0.0,c
A2--W--bcc--111,A2--W--bcc--111,A2--W--bcc,1 1 1,0.0,c
A2--W--bcc--210,A2--W--bcc--210,A2--W--bcc,2 1 0,0.0,c
A2--W--bcc--211,A2--W--bcc--211,A2--W--bcc,2 1 1,0.0,c
A2--W--bcc--221,A2--W--bcc--221,A2--W--bcc,2 2 1,0.0,c
A2--W--bcc--310,A2--W--bcc--310,A2--W--bcc,3 1 0,0.0,c
A2--W--bcc--311,A2--W--bcc--311,A2--W--bcc,3 1 1,0.0,c
A2--W--bcc--320,A2--W--bcc--320,A2--W--bcc,3 2 0,0.0,c
A2--W--bcc--321,A2--W--bcc--321,A2--W--bcc,3 2 1,0.0,c
A2--W--bcc--322,A2--W--bcc--322,A2--W--bcc,3 2 2,0.0,c
A2--W--bcc--331,A2--W--bcc--331,A2--W--bcc,3 3 1,0.0,c
A2--W--bcc--332,A2--W--bcc--332,A2--W--bcc,3 3 2,0.0,c
A3'--alpha-La--double-hcp--0001,A3'--alpha-La--double-hcp--0001,A3'--alpha-La--double-hcp,0 0 0 1,0.0,c
