name,key,id,url,family,family_url,type,axis,misorientation-angle,auvw1,buvw1,cuvw1,auvw2,buvw2,cuvw2,cutboxvector,cellsetting
A1--Cu--fcc--stgb-100-05.72,3780e266-b698-4837-b1ca-4a36f4294d9a,A1--Cu--fcc--stgb-100-05.72,,A1--Cu--fcc,,symmetric tilt,<100>,5.724810452223812,[0 0 1],[20 1 0],[-1 20 0],[0 0 1],[20 -1 0],[1 20 0],c,f
A1--Cu--fcc--stgb-100-08.17,1d2479e4-8907-407b-92c8-b88f3d9484e3,A1--Cu--fcc--stgb-100-08.17,,A1--Cu--fcc,,symmetric tilt,<100>,8.171233559949597,[0 0 1],[14 1 0],[-1 14 0],[0 0 1],[14 -1 0],[1 14 0],c,f
A1--Cu--fcc--stgb-100-11.42,bbcec020-aae7-4793-98bc-66fd99b53818,A1--Cu--fcc--stgb-100-11.42,,A1--Cu--fcc,,symmetric tilt,<100>,11.421186274999267,[0 0 1],[10 1 0],[-1 10 0],[0 0 1],[10 -1 0],[1 10 0],c,f
A1--Cu--fcc--stgb-100-14.25,f596e5ab-6a99-404f-a8d9-f129e80cb6c6,A1--Cu--fcc--stgb-100-14.25,,A1--Cu--fcc,,symmetric tilt,<100>,14.250032697803514,[0 0 1],[8 1 0],[-1 8 0],[0 0 1],[8 -1 0],[1 8 0],c,f
A1--Cu--fcc--stgb-100-18.92,5c4c84ed-1165-49d8-bb9a-4802d8d82e1c,A1--Cu--fcc--stgb-100-18.92,,A1--Cu--fcc,,symmetric tilt,<100>,18.924644416051226,[0 0 1],[6 1 0],[-1 6 0],[0 0 1],[6 -1 0],[1 6 0],c,f
A1--Cu--fcc--stgb-100-22.62,9c09bfc3-4721-48f5-b6bd-331b9e67ce9e,A1--Cu--fcc--stgb-100-22.62,,A1--Cu--fcc,,symmetric tilt,<100>,22.61986494804039,[0 0 1],[5 1 0],[-1 5 0],[0 0 1],[5 -1 0],[1 5 0],c,f
A1--Cu--fcc--stgb-100-25.06,f3a15f2d-819c-49a9-8c02-0f7179c4d1d5,A1--Cu--fcc--stgb-100-25.06,,A1--Cu--fcc,,symmetric tilt,<100>,25.05761541830298,[0 0 1],[9 2 0],[-2 9 0],[0 0 1],[9 -2 0],[2 9 0],c,f
A1--Cu--fcc--stgb-100-28.07,d9969b5c-6f9c-4395-8d6c-f39f98a50dd9,A1--Cu--fcc--stgb-100-28.07,,A1--Cu--fcc,,symmetric tilt,<100>,28.072486935852968,[0 0 1],[4 1 0],[-1 4 0],[0 0 1],[4 -1 0],[1 4 0],c,f
A1--Cu--fcc--stgb-100-31.89,baf2f6d4-c16c-4665-9282-788de209e452,A1--Cu--fcc--stgb-100-31.89,,A1--Cu--fcc,,symmetric tilt,<100>,31.890791801845715,[0 0 1],[7 2 0],[-2 7 0],[0 0 1],[7 -2 0],[2 7 0],c,f
A1--Cu--fcc--stgb-100-34.21,0f5fbcd6-180f-4594-b002-cce4c326e591,A1--Cu--fcc--stgb-100-34.21,,A1--Cu--fcc,,symmetric tilt,<100>,34.20545793810478,[0 0 1],[13 4 0],[-4 13 0],[0 0 1],[13 -4 0],[4 13 0],c,f
