name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements,artifacts,comments,dois
1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu,301f04ce-9082-4542-8590-489300cd19e8,metal,atomic,False,eam,active,"['Cu', 'Ni']","['Cu', 'Ni']","[{'filename': 'Cu_smf7.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1985--Foiles-S-M--Ni-Cu/1/Cu_smf7.eam'}, {'filename': 'Ni_smf7.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1985--Foiles-S-M--Ni-Cu/1/Ni_smf7.eam'}]","Potential 1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1985--Foiles-S-M--Ni-Cu/1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1.html
",['10.1103/physrevb.32.7685']
1985--Stillinger-F-H--Si--LAMMPS--ipr1,1985--Stillinger-F-H--Si--LAMMPS--ipr1,d085648c-b3ef-4be8-824b-7093fd22770a,1985--Stillinger-F-H-Weber-T-A--Si,edc31ad6-2b9a-455c-9b5f-e888a672ecbd,metal,atomic,False,sw,active,['Si'],['Si'],"[{'filename': 'Si.sw', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1985--Stillinger-F-H-Weber-T-A--Si/1/Si.sw'}]","Potential 1985--Stillinger-F-H--Si--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1985--Stillinger-F-H-Weber-T-A--Si/1985--Stillinger-F-H--Si--LAMMPS--ipr1.html
","['10.1103/physrevb.31.5262', '10.1103/physrevb.33.1451']"
1986--Foiles-S-M--Ag--LAMMPS--ipr1,1986--Foiles-S-M--Ag--LAMMPS--ipr1,76a265fc-45ff-49d7-8c64-2044f12402f2,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag,672d54f8-9f48-4200-af56-8a7378ebbc4a,metal,atomic,False,eam,active,['Ag'],['Ag'],"[{'filename': 'Ag_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag/1/Ag_u3.eam'}]","Potential 1986--Foiles-S-M--Ag--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag/1986--Foiles-S-M--Ag--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,c5afa7e8-6b3b-49cd-ad1c-ae3e4329363a,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,7a1302de-59cf-4efb-900e-cad845b68ee5,metal,atomic,False,eam,active,"['Ag', 'Au', 'Cu', 'Ni', 'Pd', 'Pt']","['Ag', 'Au', 'Cu', 'Ni', 'Pd', 'Pt']","[{'filename': 'Ag_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Ag_u3.eam'}, {'filename': 'Au_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Au_u3.eam'}, {'filename': 'Cu_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Cu_u3.eam'}, {'filename': 'Ni_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Ni_u3.eam'}, {'filename': 'Pd_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Pd_u3.eam'}, {'filename': 'Pt_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1/Pt_u3.eam'}]","Potential 1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Au--LAMMPS--ipr1,1986--Foiles-S-M--Au--LAMMPS--ipr1,c588810a-b96d-4871-bfe2-cff8a5a7c709,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Au,ffb66faa-319d-4556-8363-dad3959cd553,metal,atomic,False,eam,active,['Au'],['Au'],"[{'filename': 'Au_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Au/1/Au_u3.eam'}]","Potential 1986--Foiles-S-M--Au--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Au/1986--Foiles-S-M--Au--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Cu--LAMMPS--ipr1,1986--Foiles-S-M--Cu--LAMMPS--ipr1,380d3b47-51e9-4590-8a59-8313dd8fb018,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Cu,7991d330-58cd-43ac-bba9-ff6a58dcf617,metal,atomic,False,eam,active,['Cu'],['Cu'],"[{'filename': 'Cu_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Cu/1/Cu_u3.eam'}]","Potential 1986--Foiles-S-M--Cu--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Cu/1986--Foiles-S-M--Cu--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Ni--LAMMPS--ipr1,1986--Foiles-S-M--Ni--LAMMPS--ipr1,8e9ae12d-5034-418a-a168-fb5499ecffcd,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ni,15a085b9-d9d6-404f-9c2f-3ed40e8ff7a4,metal,atomic,False,eam,active,['Ni'],['Ni'],"[{'filename': 'Ni_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ni/1/Ni_u3.eam'}]","Potential 1986--Foiles-S-M--Ni--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ni/1986--Foiles-S-M--Ni--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Pd--LAMMPS--ipr1,1986--Foiles-S-M--Pd--LAMMPS--ipr1,fa189ff3-4a27-4c36-b8b7-3821443a4edd,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pd,16dde7ea-c8cf-4a23-95b3-494a2b252e9b,metal,atomic,False,eam,active,['Pd'],['Pd'],"[{'filename': 'Pd_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pd/1/Pd_u3.eam'}]","Potential 1986--Foiles-S-M--Pd--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pd/1986--Foiles-S-M--Pd--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1986--Foiles-S-M--Pt--LAMMPS--ipr1,1986--Foiles-S-M--Pt--LAMMPS--ipr1,0a74d2a8-ec49-459c-903a-44bd3e50969a,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pt,87657840-e5e6-4378-94ea-381a90608142,metal,atomic,False,eam,active,['Pt'],['Pt'],"[{'filename': 'Pt_u3.eam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pt/1/Pt_u3.eam'}]","Potential 1986--Foiles-S-M--Pt--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pt/1986--Foiles-S-M--Pt--LAMMPS--ipr1.html
",['10.1103/physrevb.33.7983']
1987--Ackland-G-J--Ag--LAMMPS--ipr1,1987--Ackland-G-J--Ag--LAMMPS--ipr1,59a266da-922c-429c-8633-8d3a8de4cd70,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ag,dc4149ce-3592-4131-8683-ecf654d5a519,metal,atomic,False,eam/fs,active,['Ag'],['Ag'],"[{'filename': 'Ag.eam.fs', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ag/2/Ag.eam.fs'}, {'filename': 'conversion_check.pdf', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ag/2/conversion_check.pdf'}]","Potential 1987--Ackland-G-J--Ag--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ag/1987--Ackland-G-J--Ag--LAMMPS--ipr1.html
",['10.1080/01418618708204485']
