name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_004835508849,EAM_Dynamo_MendelevAckland_2007v3_Zr__MO_004835508849_000,d3694758-2a82-4f0b-933c-d66a7a6aa6a2,2007--Mendelev-M-I-Ackland-G-J--Zr-3,bd58ae4c-dc17-40e4-91f0-db3eae46f933,metal,atomic,False,kim,active,['Zr'],['Zr']
MO_008996216289,MEAM_LAMMPS_JeongParkDo_2018_PdNi__MO_008996216289_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_010059867259,EAM_Dynamo_Foiles_1985_Ni__MO_010059867259_000,83aab43d-9b55-4642-833f-8171264fdb26,1985--Foiles-S-M--Ni-Cu,301f04ce-9082-4542-8590-489300cd19e8,metal,atomic,False,kim,active,"['Cu', 'Ni']","['Cu', 'Ni']"
MO_010613863288,EAM_Dynamo_PunYamakovMishin_2015_NiCo__MO_010613863288_000,2f99d71a-e86a-40e0-95f4-a754c15372cb,2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Co,20fa46b5-6b6f-4e6e-9400-66edb643c679,metal,atomic,False,kim,active,"['Ni', 'Co']","['Ni', 'Co']"
MO_014123846623,SNAP_ZuoChenLi_2019_Mo__MO_014123846623_000,a65b9a76-4176-4e83-b38e-db80f5c09281,2020--Zuo-Y-Chen-C-Li-X-et-al--Mo-SNAP,9945ba71-939f-47ee-808b-aa72ab6d227d,metal,atomic,False,kim,active,['Mo'],['Mo']
MO_017524376569,EMT_Asap_Standard_JacobsenStoltzeNorskov_1996_Au__MO_017524376569_001,ca1db6a1-e6a1-4831-97a1-279e6dc3e580,1996--Jacobsen-K-W-Stoltze-P-Norskov-J-K--Au,3c88575c-12cd-413c-892c-cad122f91de1,metal,atomic,False,kim,active,['Au'],['Au']
MO_018428823000,MEAM_LAMMPS_KimJeonLee_2015_MgY__MO_018428823000_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_019616213550,ThreeBodyCluster_BH_BiswasHamann_1987_Si__MO_019616213550_000,47266936-ffaf-49e5-8926-0e27356b943b,1987--Biswas-R-Hamann-D-R--Si,c08c11df-cb6d-47d5-a6f2-9aa1e5187bb0,metal,atomic,False,kim,active,['Si'],['Si']
MO_019873715786,EAM_Dynamo_LiuAdams_1998_AlMg__MO_019873715786_000,a1c50c15-d396-4bb1-b034-fc03045e29b7,1998--Liu-X-Y-Adams-J-B--Al-Mg,471c5c9d-fe61-4bbb-a088-a88be016d78d,metal,atomic,False,kim,active,"['Al', 'Mg']","['Al', 'Mg']"
MO_020840179467,MEAM_LAMMPS_KimSeolJi_2017_PtNi__MO_020840179467_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
