name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-1,0c58de9f-79b4-41bd-91d1-c732fd91fbb4,mp-1,Materials Project,https://materialsproject.org/,cubic,1.0,['Cs'],Cs,6.1475702046347,6.1475702046347,6.1475702046347,90.0,90.0,90.0,2.0
mp-10,295c5cd4-3f9f-4663-afdc-a04b55d15534,mp-10,Materials Project,https://materialsproject.org/,cubic,1.0,['As'],As,2.7375107628286,2.7375107628286,2.7375107628286,90.0,90.0,90.0,1.0
mp-1001011,418ee76f-0304-4b73-8f96-df0e91a1728d,mp-1001011,Materials Project,https://materialsproject.org/,cubic,2.0,"['O', 'Ta']",O3Ta,7.9180432229549,7.9180432229549,7.9180432229549,90.0,90.0,90.0,32.0
mp-1001080,c95c06db-1feb-41b1-9b28-c0de3e8e45f5,mp-1001080,Materials Project,https://materialsproject.org/,orthorhombic,3.0,"['C', 'H', 'O']",CH2O3,6.7121360173642,6.7232431167832,6.58336481,90.0,90.0,90.0,24.0
mp-1001113,4103f637-7118-4591-9a8f-f27672b3e440,mp-1001113,Materials Project,https://materialsproject.org/,orthorhombic,1.0,['Si'],Si,3.2623998,9.4332684880864,3.99175332,90.0,90.0,90.0,8.0
mp-1001570,df8d8595-e860-4461-afd9-8bd9c1e24f8d,mp-1001570,Materials Project,https://materialsproject.org/,tetragonal,1.0,['H'],H,4.4567880046094,4.4567880046094,3.147888003341,90.0,90.0,90.0,4.0
mp-1001594,b9393c6e-ee6f-4253-8764-8c4565bce9c7,mp-1001594,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['C', 'O']",C4O3,14.854259584245,14.854259584244392,18.144583826708,90.0,90.0,120.00000000000094,252.0
mp-1002069,42c22f0a-b71b-47c3-9765-60156d7f65dd,mp-1002069,Materials Project,https://materialsproject.org/,tetragonal,4.0,"['Cl', 'I', 'Li', 'Na']",ClILiNa,4.09163556,4.09163556,6.21534386,90.0,90.0,90.0,4.0
mp-1002080,c98784c6-08da-404c-8e18-e8bc68fe105c,mp-1002080,Materials Project,https://materialsproject.org/,tetragonal,4.0,"['Cl', 'Cs', 'I', 'Li']",ClCsILi,4.62862351,4.62862351,7.60598735,90.0,90.0,90.0,4.0
mp-1002081,f4b7258e-6ae8-404c-b4bc-cdb71d97ca48,mp-1002081,Materials Project,https://materialsproject.org/,tetragonal,4.0,"['Cl', 'I', 'K', 'Na']",ClIKNa,4.51039977,4.51039977,6.81906434,90.0,90.0,90.0,4.0
mp-1002083,7e2b8651-1f2e-480b-9611-a54e6fd55587,mp-1002083,Materials Project,https://materialsproject.org/,tetragonal,4.0,"['Cl', 'Cs', 'I', 'K']",ClCsIK,4.9911131,4.9911131,7.50941923,90.0,90.0,90.0,4.0
mp-10021,cc3a3594-5010-4c49-924e-e7312bf6c710,mp-10021,Materials Project,https://materialsproject.org/,orthorhombic,1.0,['Ga'],Ga,2.75358798,8.8976216126396,3.10261796,90.0,90.0,90.0,4.0
mp-1002206,f7d40639-0127-4423-86e8-a9b73413e9f0,mp-1002206,Materials Project,https://materialsproject.org/,cubic,2.0,"['C', 'Si']",CSi,4.0582826050468,4.0582826050468,4.0582826050468,90.0,90.0,90.0,8.0
mp-10024,b2661372-fb2c-4787-8561-aa5cf96420a5,mp-10024,Materials Project,https://materialsproject.org/,cubic,1.0,['Ce'],Ce,3.7759513132403,3.7759513132403,3.7759513132403,90.0,90.0,90.0,2.0
mp-10048,068c5966-e001-4674-a577-4dd0218acc4c,mp-10048,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['As', 'Ga']",AsGa,2.71070352,2.71933289,5.46394569,90.0,90.0,90.0,2.0
mp-1005,22668e41-9521-42ea-9e9f-9779b45c72e4,mp-1005,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['Fe', 'P']",FeP,3.05259005,5.14800165,5.75913829,90.0,90.0,90.0,8.0
mp-10064,bf2d337c-1b22-429c-8dc8-f9d6f5b85e8e,mp-10064,Materials Project,https://materialsproject.org/,cubic,2.0,"['O', 'Si']",O2Si,4.5828324864598,4.5828324864598,4.5828324864598,90.0,90.0,90.0,12.0
